# Steen sample-text candidate inventory.
#
# Provenance: the ten sample-text pages of Jan van Steenbergen's Interslavic
# site (https://steen.free.fr/interslavic/), which publish each text three
# times in parallel: etymological/flavored Latin, standard Latin, Cyrillic.
# `source_text` is the standard-Latin version; `flavored_text` is the
# etymological version as published by the source, and is empty for
# maly_princ.html, which pairs standard spelling with an English gloss
# instead.
#
# Rows are sentences, mined with quotation tracking. A sentence inside
# direct speech is still a sentence, so it is its own row; the surrounding
# quotation's delimiters belong to the span, not to it, and are stripped.
# `framed` marks a sentence that carries a quotative frame of its own
# (words outside the quotation, as in `«Ne», odgovoril pes.`) — there the
# marks are structural and are kept. `quoted` marks a sentence that sits
# inside direct speech.
#
# `disposition` is `fixture:<case id>` or `skip:<reason>`; it must be
# non-empty for every row. tests/corpus_inventory.rs enforces that, and each
# fixture file asserts its own ids appear here.
id	page	index	source_text	flavored_text	framed	quoted	disposition
jokes-008	jokes	8	— Ja?	— Ja?	no	no	skip:fragment: an elliptical turn with no finite predicate; an explicit ellipsis model is needed
jokes-009	jokes	9	Iz Dněpropetrovska!	Iz Dněpropetrovska!	no	no	skip:fragment: an elliptical answer with no finite predicate
jokes-010	jokes	10	Fanatična gromada hoče okameniti grěšnu ženu.	Fanatična gromada hȯće okameniti grěšnų ženų.	no	no	skip:facade-orthography: expressible and realized correctly except that `hotěti` yields `hoće` (the dictionary's own present-stem hint) where Steen's text has `hȯće`
jokes-011	jokes	11	Isus s gestom štopuje tolpu: — Kydaj kamenj toj, kto jest bez grěha!	Isus s gestom štopuje tȯlpų: — Kydaj kamenj toj, kto jest bez grěha!	no	no	skip:dash-turn: a dialogue turn introduced by an em dash; the turn marker is a quotative device with no frame to model
jokes-012	jokes	12	Iz gromady leti dobro cěljeny kamenj i žena pade v dol, polna krovju.	Iz gromady leti dobro cěljeny kamenj i žena pade v dol, pȯlna krȯvjų.	no	no	skip:fronted-adjunct: a clause-initial prepositional or adverbial adjunct cannot be fronted ahead of the subject
jokes-013	jokes	13	Isus povračaje se k gromadě s obvinjajučim pogledom: — Mamo, začto...	Isus povraćaje sę k gromadě s obvinjajųćim poględom: — Mamo, začto...	no	no	skip:vocative-edge: the facade has the vocative, but no phrase-level address slot uses it yet
jokes-014	jokes	14	Jan Pavel II stoji prěd vratami k nebu.	Jan Pavel {II} stoji prěd vråtami k nebu.	no	no	skip:spelled-out-numerals: a documented non-goal
jokes-015	jokes	15	Svety Petr: — A vy kto?	Svęty Petr: — A vy kto?	no	no	skip:dash-turn: a dialogue turn introduced by an em dash; the turn marker is a quotative device with no frame to model
jokes-016	jokes	16	— Ja jesm Karol Vojtyla, Jan Pavel II, papež, prědstavitelj Boga na zemji.	— Ja jesm Karolj Vojtyla, Jan Pavel {II}, papež, prědstavitelj Boga na zemji.	no	no	skip:dash-turn: a dialogue turn introduced by an em dash; the turn marker is a quotative device with no frame to model
jokes-017	jokes	17	— Ne znaju, iměl by li šef na zemji prědstavitelja.	— Ne znajų, iměl by li šef na zemji prědstavitelja.	no	no	skip:dash-turn: a dialogue turn introduced by an em dash; the turn marker is a quotative device with no frame to model
jokes-018	jokes	18	Trěba bude go zapytati.	Trěba bųde go zapytati.	no	no	skip:clitic-climbing: the infinitive's object clitic precedes the infinitive (`go zapytati`), the pattern this crate deliberately does not model
jokes-019	jokes	19	On ide k Bogu, ktory takože ne znaje o ničem.	On ide k Bogu, ktory takože ne znaje o ničem.	no	no	skip:relative-clause-shape: gap role or relativizer form outside the supported subj/obj/pp set
jokes-020	jokes	20	Zato oni idut k Isusu.	Zato oni idųt k Isusu.	no	no	fixture:jokes-020
jokes-021	jokes	21	Toj ide do nebskyh vrat, že by lično razvezal problem.	Toj ide do nebskyh vråt, že by lično råzvęzal problem.	no	no	skip:adverb-position: `lično` follows the conditional auxiliary; this generator places adverbs before the verb complex
jokes-022	jokes	22	Poslě hvilje vračaje se, imajuči očevidno dobro nastrojenje:	Poslě hvilje vraćaje sę, imajųći očevidno dobro nastrojeńje:	no	no	skip:fronted-adjunct: a clause-initial prepositional or adverbial adjunct cannot be fronted ahead of the subject
jokes-023	jokes	23	— Vy pomnite, že ja onogda, prěd okolo dva tysečami lětami, osnoval jesm taku družinu rybakov?	— Vy pomnite, že ja onȯgda, prěd okolo dva tysęćami lětami, osnoval jesm takų družinų rybakov?	no	no	skip:spelled-out-numerals: a documented non-goal
jokes-024	jokes	24	Sejčas ja slyšu, že ona funkcionuje do dnes!	Sejčas ja slyšų, že ona funkcionuje do dneś!	no	no	skip:fronted-adjunct: a clause-initial prepositional or adverbial adjunct cannot be fronted ahead of the subject
declaration-001	declaration	1	Vsi ljudi rodet se svobodni i ravni v dostojnosti i pravah.	Vsi ljudi rodęt sę svobodni i råvni v dostojnosti i pravah.	no	no	skip:coordination-shape: three-or-more-way or nested coordination
declaration-002	declaration	2	Oni sut obdarjeni razumom i svěstju i imajut postupati jedin k drugomu v duhu bratstva.	Oni sųt obdarjeni råzumom i svěsťjų i imajųt postųpati jedin k drugomu v duhu bratstva.	no	no	skip:spelled-out-numerals: a documented non-goal
maly_princ-001	maly_princ	1	Togda pojavila se lisica.		no	no	fixture:maly_princ-001
maly_princ-002	maly_princ	2	«Dobry denj», rěkla lisica.		yes	no	skip:quotative-frame: direct speech with a `rěkl X` frame is not modelled; applied uniformly to every framed row
maly_princ-003	maly_princ	3	«Dobry denj», odgovoril učtivo maly princ, ktory se razgledal, ale ničto ne viděl.		yes	no	skip:quotative-frame: direct speech with a `rěkl X` frame is not modelled; applied uniformly to every framed row
maly_princ-004	maly_princ	4	«Ja jesm tu», rěkl glas, «pod jablanju.»		yes	no	skip:quotative-frame: direct speech with a `rěkl X` frame is not modelled; applied uniformly to every framed row
maly_princ-005	maly_princ	5	«Kto jesi ty?», rěkl maly princ.		yes	no	skip:quotative-frame: direct speech with a `rěkl X` frame is not modelled; applied uniformly to every framed row
maly_princ-006	maly_princ	6	Jesi mnogo lěpy...		no	yes	skip:adverb-position: Steen places these adverbs after the verb; this generator places adverbs before it
maly_princ-007	maly_princ	7	«Ja jesm lisica», rěkla lisica.		yes	no	skip:quotative-frame: direct speech with a `rěkl X` frame is not modelled; applied uniformly to every framed row
maly_princ-008	maly_princ	8	«Hodi igrati s mnoju», prědložil mu maly princ.		yes	no	skip:quotative-frame: direct speech with a `rěkl X` frame is not modelled; applied uniformly to every framed row
maly_princ-009	maly_princ	9	Jesm tako smutny...		no	yes	skip:adverb-position: Steen places these adverbs after the verb; this generator places adverbs before it
maly_princ-010	maly_princ	10	«Ja ne mogu igrati s toboju», rěkla lisica.		yes	no	skip:quotative-frame: direct speech with a `rěkl X` frame is not modelled; applied uniformly to every framed row
maly_princ-011	maly_princ	11	Ne jesm odomašnjeny.		no	yes	fixture:maly_princ-011
maly_princ-012	maly_princ	12	«Ah, izvini», rěkl maly princ.		yes	no	skip:quotative-frame: direct speech with a `rěkl X` frame is not modelled; applied uniformly to every framed row
maly_princ-013	maly_princ	13	Ale, kratko podumavši, on dobavil:		no	no	skip:past-adverbial-participle: only clause-initial PRESENT active participles are supported
maly_princ-014	maly_princ	14	«Ty ne jesi sdešnji», rěkla lisica, «čto ty iščeš?»		yes	no	skip:quotative-frame: direct speech with a `rěkl X` frame is not modelled; applied uniformly to every framed row
maly_princ-015	maly_princ	15	«Ljudi», rěkla lisica, «imajut karabiny i hodet na lov.		yes	no	skip:quotative-frame: direct speech with a `rěkl X` frame is not modelled; applied uniformly to every framed row
maly_princ-016	maly_princ	16	To jest mnogo neprijetno!		no	yes	skip:adverb-position: Steen places these adverbs after the verb; this generator places adverbs before it
maly_princ-017	maly_princ	17	Oni takože razvodet kury.		no	yes	fixture:maly_princ-017
maly_princ-018	maly_princ	18	To jest jedina jihna prědnost.		no	yes	skip:spelled-out-numerals: a documented non-goal
maly_princ-019	maly_princ	19	Ty iščeš kury?		no	yes	skip:existential: a bare-object question with no expressible information structure for its order
maly_princ-020	maly_princ	20	«To jest něčto uže davno zabyto», rěkla lisica.		yes	no	skip:quotative-frame: direct speech with a `rěkl X` frame is not modelled; applied uniformly to every framed row
maly_princ-021	maly_princ	21	To znači: stvoriti svezi...		no	yes	skip:fragment: a gloss continued by an infinitive after a colon
maly_princ-022	maly_princ	22	«Očevidno», rěkla lisica.		yes	no	skip:quotative-frame: direct speech with a `rěkl X` frame is not modelled; applied uniformly to every framed row
maly_princ-023	maly_princ	23	Nyně ty jesi dlja mene samo někoj maly hlapčik, sovsěm taky, kako sto tysečev drugyh malyh hlapčikov.		no	yes	skip:spelled-out-numerals: a documented non-goal
maly_princ-024	maly_princ	24	I ty ne jesi mi potrěbny.		no	yes	skip:dative-experiencer: a dative argument of a predicate adjective or impersonal verb has no edge
maly_princ-025	maly_princ	25	A ja ne jesm potrěbny tobě.		no	yes	skip:dative-experiencer: a dative argument of a predicate adjective or impersonal verb has no edge
maly_princ-026	maly_princ	26	Dlja tebe ja jesm samo lisica, sovsěm taka, kako sto tysečev drugyh lisic.		no	yes	skip:spelled-out-numerals: a documented non-goal
maly_princ-027	maly_princ	27	Ale ako ty me odomašniš, my budemo sobě potrěbni jedin drugomu.		no	yes	skip:spelled-out-numerals: a documented non-goal
maly_princ-028	maly_princ	28	Ty budeš dlja mene jediny na světu.		no	yes	skip:spelled-out-numerals: a documented non-goal
maly_princ-029	maly_princ	29	A ja budu dlja tebe jediny na světu...		no	yes	skip:spelled-out-numerals: a documented non-goal
maly_princ-030	maly_princ	30	«Ja načinaju razuměti», rěkl maly princ.		yes	no	skip:quotative-frame: direct speech with a `rěkl X` frame is not modelled; applied uniformly to every framed row
maly_princ-031	maly_princ	31	Jest jedna roza... izdavaje mi se, že ona odomašnila me...		no	yes	skip:dative-experiencer: a dative argument of a predicate adjective or impersonal verb has no edge
maly_princ-032	maly_princ	32	«To jest možno», rěkla lisica.		yes	no	skip:quotative-frame: direct speech with a `rěkl X` frame is not modelled; applied uniformly to every framed row
maly_princ-033	maly_princ	33	Na Zemji vidi se vsekake věči...		no	yes	skip:fragment: a reflexive-passive clause trailing into an ellipsis
maly_princ-034	maly_princ	34	Lisica izdavala se mnogo ljubopytna:		no	no	skip:adverb-position: Steen places these adverbs after the verb; this generator places adverbs before it
maly_princ-035	maly_princ	35	Na drugoj planetě?		no	yes	skip:fragment: an elliptical question with no finite predicate
maly_princ-036	maly_princ	36	Sut li na onoj planetě lovci?		no	yes	skip:existential: `Sųt li … lovci?` — an existential `byti` question whose subject follows the locative phrase
maly_princ-037	maly_princ	37	«Ničto ne jest doskonalo», vozdohnula lisica.		yes	no	skip:quotative-frame: direct speech with a `rěkl X` frame is not modelled; applied uniformly to every framed row
maly_princ-038	maly_princ	38	Ale potom ona vratila se k svojej mysli:		no	no	skip:fragment: a narrative clause ending in a colon that introduces speech
maly_princ-039	maly_princ	39	«Prošu... odomašni me!», rěkla.		yes	no	skip:quotative-frame: direct speech with a `rěkl X` frame is not modelled; applied uniformly to every framed row
maly_princ-040	maly_princ	40	«S radostju», odgovoril maly princ, «ale ne imaju mnogo vrěmena.		yes	no	skip:quotative-frame: direct speech with a `rěkl X` frame is not modelled; applied uniformly to every framed row
maly_princ-041	maly_princ	41	Mně trěba najdti prijateljev i poznati mnogo věčij.		no	yes	skip:degree: comparative/superlative predicates and `neželi` standards are not wired into the phrase layer
maly_princ-042	maly_princ	42	«Možno jest poznati samo te věči, ktore se odomašni», rěkla lisica.		yes	no	skip:quotative-frame: direct speech with a `rěkl X` frame is not modelled; applied uniformly to every framed row
maly_princ-043	maly_princ	43	Ljudi ne imajut uže vrěme, da by poznali čtokoli.		no	yes	skip:impersonal-modal: `ne imajut uže vrěme, da by …` — an impersonal possession frame with a purpose clause
maly_princ-044	maly_princ	44	Oni kupujut gotove prědmety od trgovcev.		no	yes	fixture:maly_princ-044
maly_princ-045	maly_princ	45	Ale nemaje trgovcev, ktori prodavajut prijateljev, i zatom ljudi bolje ne imajut prijateljev.		no	yes	skip:degree: comparative/superlative predicates and `neželi` standards are not wired into the phrase layer
maly_princ-046	maly_princ	46	Ako ty hočeš prijatelja, odomašni me!		no	yes	skip:conditional-clause-plus-imperative: an `ako` clause whose matrix is an imperative
maly_princ-047	maly_princ	47	«A čto trěba sdělati?», zapytal maly princ.		yes	no	skip:quotative-frame: direct speech with a `rěkl X` frame is not modelled; applied uniformly to every framed row
maly_princ-048	maly_princ	48	«Trěba byti mnogo trplivy», odgovorila lisica.		yes	no	skip:quotative-frame: direct speech with a `rěkl X` frame is not modelled; applied uniformly to every framed row
maly_princ-049	maly_princ	49	Najprvo sedeš trohu dalje od mene, vot tako, na travu.		no	yes	skip:adverb-position: Steen places these adverbs after the verb; this generator places adverbs before it
maly_princ-050	maly_princ	50	Ja budu na tebe gledati kraječkom oka, a ty ne budeš govoriti ničto.		no	yes	skip:clause-coordination: two finite clauses joined by `a`, with distinct subjects
maly_princ-051	maly_princ	51	Govor jest žrlo nedorazuměnj.		no	yes	skip:nominal-complement: a genitive complement inside a predicate noun phrase
maly_princ-052	maly_princ	52	Ale vsaky denj budeš sědati nemnožko bliže...		no	yes	skip:adverb-position: `nemnožko bliže` follows the infinitive, and is itself a degree-modified comparative adverb
maly_princ-053	maly_princ	53	Na drugy denj maly princ prišel snova.		no	no	skip:adverb-position: Steen places these adverbs after the verb; this generator places adverbs before it
maly_princ-054	maly_princ	54	Tako maly princ odomašnil lisicu.		no	no	fixture:maly_princ-054
maly_princ-055	maly_princ	55	I kogda približila se čas razstanja...		no	no	skip:fragment: an unfinished clause trailing into an ellipsis
maly_princ-056	maly_princ	56	«Ah!», rěkla lisica, «ja budu plakati...»		yes	no	skip:quotative-frame: direct speech with a `rěkl X` frame is not modelled; applied uniformly to every framed row
maly_princ-057	maly_princ	57	«To jest tvoja vina», rěkl maly princ.		yes	no	skip:quotative-frame: direct speech with a `rěkl X` frame is not modelled; applied uniformly to every framed row
maly_princ-058	maly_princ	58	Ja ti nikogda ne želal jesm zlo, ale ty htěl jesi, že byh te odomašnil...		no	yes	skip:negative-concord: a negative pronoun alongside clausal `ne` is not modelled
maly_princ-059	maly_princ	59	«To pravda», rěkla lisica.		yes	no	skip:quotative-frame: direct speech with a `rěkl X` frame is not modelled; applied uniformly to every framed row
maly_princ-060	maly_princ	60	«Ale ty budeš plakati!», rěkl maly princ.		yes	no	skip:quotative-frame: direct speech with a `rěkl X` frame is not modelled; applied uniformly to every framed row
maly_princ-061	maly_princ	61	«To pravda», rěkla lisica.		yes	no	skip:quotative-frame: direct speech with a `rěkl X` frame is not modelled; applied uniformly to every framed row
maly_princ-062	maly_princ	62	Znači, ty ne jesi tym dobyl ničto!		no	yes	skip:correlative: paired correlative clauses (`kako … tako`, `čim … tym`, `toliko … koliko`)
maly_princ-063	maly_princ	63	«Jesm dobyl», rěkla lisica, «zaradi zlatoj barvy žita.»		yes	no	skip:quotative-frame: direct speech with a `rěkl X` frame is not modelled; applied uniformly to every framed row
maly_princ-064	maly_princ	64	Idi ješče raz pogleděti na rozy.		no	yes	skip:purposive-infinitive: an infinitive of purpose after an imperative of motion (`Idi … pogleděti`)
maly_princ-065	maly_princ	65	Segda budeš razuměti, že tvoja jest jedina na světu.		no	yes	skip:spelled-out-numerals: a documented non-goal
maly_princ-066	maly_princ	66	Kogda vratiš se k mně prostiti se, ja podarju ti jednu tajnu.		no	yes	skip:dative-experiencer: a dative argument of a predicate adjective or impersonal verb has no edge
maly_princ-067	maly_princ	67	Maly princ pošel, že by ješče raz pogleděl na rozy.		no	no	skip:adverb-phrase: the multiword adverbial `ješče raz` has no single-lemma adverb slot
maly_princ-068	maly_princ	68	«Vy sovsěm ne jeste podobne mojej rozě, vy ne jeste ješče ničto», rěkl jim.		yes	no	skip:quotative-frame: direct speech with a `rěkl X` frame is not modelled; applied uniformly to every framed row
maly_princ-069	maly_princ	69	Nikto ne odomašnil vas i vy ne jeste odomašnili nikogo.		no	yes	skip:negative-concord: `nikto ne …` and `ne … nikogo` in one sentence
maly_princ-070	maly_princ	70	Vy jeste take, kaka byla moja lisica.		no	yes	skip:correlative: paired correlative clauses (`kako … tako`, `čim … tym`, `toliko … koliko`)
maly_princ-071	maly_princ	71	Ona byla samo obyčna lisica, podobna stu tysečev drugyh lisic.		no	yes	skip:spelled-out-numerals: a documented non-goal
maly_princ-072	maly_princ	72	Ale ja iz njej sdělal jesm svojego prijatelja, a nyně ona jest jedina na světu.		no	yes	skip:spelled-out-numerals: a documented non-goal
maly_princ-073	maly_princ	73	«Vy jeste krasive, ale jeste prazdne», prodolžil on.		yes	no	skip:quotative-frame: direct speech with a `rěkl X` frame is not modelled; applied uniformly to every framed row
maly_princ-074	maly_princ	74	Ne možno jest umreti dlja vas.		no	yes	skip:impersonal-modal: the impersonal `možno jest` frame with an infinitive, and its negation attaching before `možno`
maly_princ-075	maly_princ	75	Očevidno, obyčny prohodnik by pomyslil, že moja roza jest podobna vam.		no	yes	skip:adverb-phrase: the sentence-initial `Očevidno,` is a parenthetical adverbial set off by a comma
maly_princ-076	maly_princ	76	Ale ona jedna jest dlja mene važnějša od vas vsih.		no	yes	skip:degree: comparative/superlative predicates and `neželi` standards are not wired into the phrase layer
maly_princ-077	maly_princ	77	Tomu že ja ju podlival jesm.		no	yes	skip:connective-fragment: a subordinate clause standing as a whole sentence, rather than attached to a matrix clause
maly_princ-078	maly_princ	78	Tomu že ja ju nakryval jesm steklěnym kolpakom.		no	yes	skip:connective-fragment: a subordinate clause standing as a whole sentence, rather than attached to a matrix clause
maly_princ-079	maly_princ	79	Tomu že ja ju zaslanjal jesm paravanom.		no	yes	skip:connective-fragment: a subordinate clause standing as a whole sentence, rather than attached to a matrix clause
maly_princ-080	maly_princ	80	Tomu že ja dlja njej poubival jesm gusenice (kromě dvoh, da by byli motyli).		no	yes	skip:connective-fragment: a subordinate clause standing as a whole sentence, rather than attached to a matrix clause
maly_princ-081	maly_princ	81	Tomu že ja ju slušal jesm, kogda ona žalila se, ili kogda ona hvalila se, ili daže kogda ona molčala.		no	yes	skip:connective-fragment: a subordinate clause standing as a whole sentence, rather than attached to a matrix clause
maly_princ-082	maly_princ	82	Tomu že ona jest moja roza.		no	yes	skip:connective-fragment: a subordinate clause standing as a whole sentence, rather than attached to a matrix clause
maly_princ-083	maly_princ	83	I on vratil se k lisici.		no	no	fixture:maly_princ-083
maly_princ-084	maly_princ	84	«Sbogom...», rěkl on.		yes	no	skip:quotative-frame: direct speech with a `rěkl X` frame is not modelled; applied uniformly to every framed row
maly_princ-085	maly_princ	85	«Sbogom», rěkla lisica.		yes	no	skip:quotative-frame: direct speech with a `rěkl X` frame is not modelled; applied uniformly to every framed row
maly_princ-086	maly_princ	86	Vot moja tajna.		no	yes	skip:fragment: a presentative with no finite predicate (`Vot moja tajna`)
maly_princ-087	maly_princ	87	Ona jest mnogo prosta: dobro vidi se jedino srdcem.		no	yes	skip:spelled-out-numerals: a documented non-goal
maly_princ-088	maly_princ	88	Najglavnějše jest nevidimo očam.		no	yes	skip:degree: comparative/superlative predicates and `neželi` standards are not wired into the phrase layer
maly_princ-089	maly_princ	89	«Najglavnějše jest nevidimo očam», povtoril maly princ, da by zapametal.		yes	no	skip:quotative-frame: direct speech with a `rěkl X` frame is not modelled; applied uniformly to every framed row
maly_princ-090	maly_princ	90	Zaradi vrěmena, ktoro požrtvoval jesi svojej rozě, ona jest ti tako dragocěnna.		no	yes	skip:relative-clause-shape: gap role or relativizer form outside the supported subj/obj/pp set
maly_princ-091	maly_princ	91	«Zaradi vrěmena, ktoro požrtvoval jesm svojej rozě...», rěkl princ, da by zapametal.		yes	no	skip:quotative-frame: direct speech with a `rěkl X` frame is not modelled; applied uniformly to every framed row
maly_princ-092	maly_princ	92	«Ljudi zabyli tu istinu», rěkla lisica.		yes	no	skip:quotative-frame: direct speech with a `rěkl X` frame is not modelled; applied uniformly to every framed row
maly_princ-093	maly_princ	93	Ale ty ju ne zabyvaj.		no	yes	skip:postposed-possessive-and-address: verse-order possessives after the noun, and imperative clauses whose addressee is named
maly_princ-094	maly_princ	94	Ty bereš na sebe odgovornost za tyh, kogo jesi odomašnil.		no	yes	skip:reflexive-pronoun: the full reflexive pronoun (as against the `sę` clitic) has no paradigm here
maly_princ-095	maly_princ	95	Ty jesi odgovorny za svoju rozu...		no	yes	skip:predicate-complement: a predicate adjective governing a prepositional complement (`odgovorny za …`)
maly_princ-096	maly_princ	96	«Ja jesm odgovorny za svoju rozu», povtoril maly princ, da by zapametal.		yes	no	skip:quotative-frame: direct speech with a `rěkl X` frame is not modelled; applied uniformly to every framed row
